FECHA,Δh1,Mh1,Mv1,Delta_foF2_1,slope_foF2_1,foF2_max_SW1,foF2_min_SW1,foF2_drop_SW1,num_muestras_foF2_SW1,delta_inicio_SW1_min,delta_fin_SW1_min,extremos_validos_SW1,tiempo_real_SW1_min,Δh2,Mh2,Mv2,Delta_foF2_2,slope_foF2_2,foF2_max_SW2,foF2_min_SW2,foF2_drop_SW2,num_muestras_foF2_SW2,delta_inicio_SW2_min,delta_fin_SW2_min,extremos_validos_SW2,tiempo_real_SW2_min,Δh3,Mh3,Mv3,Delta_foF2_3,slope_foF2_3,foF2_max_SW3,foF2_min_SW3,foF2_drop_SW3,num_muestras_foF2_SW3,delta_inicio_SW3_min,delta_fin_SW3_min,extremos_validos_SW3,tiempo_real_SW3_min,F_DENSITY,Bz_mean_16_19,Bz_min_16_19,Bz_slope_16_19,E_mean_16_19,E_max_16_19,E_slope_16_19,SW_speed_mean_16_19,SW_speed_std_16_19,SW_speed_slope_16_19,Dst_mean_16_19,Dst_min_16_19,Pdyn_mean_16_19,Pdyn_max_16_19,BY_mean_16_19,Kp_last_6h_mean,Kp_last_6h_max,Kp_last_6h_sum,F10.7_Index,num_registros_16_19,num_registros_kp_13_18
2015-02-03,,305.4,,,,8.2,,,1,45.0,4.999999999999929,False,,,,,,,,,,0,4.999999999999929,10.000000000000073,False,,,,,,,,,,0,10.000000000000073,0.0,False,,10.95,0.35,-1.6,-0.8800000000000001,0.12,1.35,0.6880000000000001,540.25,3.4034296427770228,-2.1,-13.5,-18,2.1499999999999995,2.21,-1.25,26.5,30.0,159.0,145.1,4,6
2015-02-04,,,,,,,,,0,,,False,,,,,,,,,,0,,,False,,,,,,,,,,0,25.00000000000007,0.0,False,,8.5,-0.175,-0.5,-0.23,0.3399999999999999,0.59,0.204,428.25,4.272001872658765,-3.3,-13.25,-18,1.25,1.33,-1.4,13.0,13.0,78.0,150.1,4,6
2015-02-05,,,,,,,,,0,,,False,,,,,,,,,,0,34.99999999999993,-4.999999999999929,False,,56.89999999999998,468.0,1.264444444444444,0.3000000000000007,0.0066666666666666,11.5,11.2,0.3000000000000007,4,-4.999999999999929,0.0,True,45.0,11.4,-1.1,-2.0,0.64,-0.625,-0.28,-0.1919999999999999,399.25,4.425306015783918,-3.1,-17.0,-20,1.5325,1.84,5.65,25.0,27.0,150.0,138.0,4,6
2015-02-06,,,,,,,,,0,,,False,,,,,,,,,,0,34.99999999999993,-4.999999999999929,False,,-1.8000000000000114,430.0,-0.0400000000000002,-0.4000000000000003,-0.0088888888888888,9.3,8.9,0.4000000000000003,4,-4.999999999999929,0.0,True,45.0,9.125,1.225,-2.0,-0.0899999999999999,-1.2525,0.5,0.1169999999999999,421.25,8.421203397773187,-3.3,-6.25,-10,1.54,1.7,4.0,5.0,10.0,30.0,139.3,4,6
2015-02-07,,,,,,,,,0,,,False,,,,,,,,,,0,34.99999999999993,-4.999999999999929,False,,118.0,505.5,2.6222222222222222,2.0,0.0444444444444444,11.3,9.3,2.0,4,-4.999999999999929,0.0,True,45.0,9.875,0.2,-2.8,1.7600000000000002,-0.5700000000000001,0.88,-1.12,405.75,7.58836829188814,5.5,-18.5,-21,2.46,2.68,2.5,18.0,23.0,108.0,148.9,4,6
2015-02-08,,,,,,,,,0,,,False,,,,,,,,,,0,34.99999999999993,-4.999999999999929,False,,73.60000000000002,443.6,1.635555555555556,1.3000000000000007,0.0288888888888889,11.6,9.5,2.1,4,-4.999999999999929,0.0,True,45.0,10.85,-2.9250000000000003,-3.7,-0.2099999999999999,0.8275000000000001,1.34,0.355,511.5,7.767453465154029,-4.0,-17.5,-19,1.2425,1.35,2.075,28.5,30.0,171.0,148.7,4,6
2015-02-09,-41.0,401.4,-0.9111111111111112,-0.1999999999999993,-0.0044444444444444,10.2,,,2,0.0,4.999999999999929,True,45.0,-20.59999999999997,360.4,-0.6866666666666655,-0.5,-0.0166666666666666,10.0,9.5,0.5,3,4.999999999999929,-4.999999999999929,True,30.0,57.80000000000001,402.1,1.2844444444444447,1.3000000000000007,0.0288888888888889,11.1,9.5,1.5999999999999996,4,-4.999999999999929,0.0,True,45.0,10.285714285714286,0.2249999999999999,-4.4,1.67,-0.765,1.31,-0.7560000000000001,385.5,3.1091263510296048,-1.6,-20.0,-23,1.33,1.4,3.725,21.5,23.0,129.0,141.9,4,6
2015-02-10,,,,,,,,,0,25.00000000000007,0.0,False,,-19.100000000000023,430.1,-0.4775000000000006,-1.0,-0.025,10.2,7.75,2.4499999999999997,7,0.0,0.0,True,40.0,22.200000000000045,422.5,0.5550000000000012,0.0,0.0,9.5,7.0,2.5,9,0.0,0.0,True,40.0,8.991176470588234,-1.45,-4.3,1.1,0.1125,1.81,-0.633,386.0,4.546060565661952,1.8,-14.5,-16,1.19,1.23,2.025,23.5,30.0,141.0,137.3,4,6
2015-02-11,-4.2000000000000455,384.6,-0.1050000000000011,-0.5999999999999996,-0.0149999999999999,9.9,8.8,1.0999999999999996,6,0.0,0.0,True,40.0,29.100000000000023,409.5,0.7275000000000006,0.0,0.0,9.3,8.9,0.4000000000000003,8,0.0,0.0,True,40.0,20.80000000000001,430.3,0.5200000000000002,-0.200000000000001,-0.005,9.3,8.9,0.4000000000000003,9,0.0,0.0,True,40.0,9.185714285714289,-0.375,-2.6,-0.7100000000000002,-0.3599999999999999,0.66,0.434,358.5,6.244997998398398,1.2,-8.75,-14,99.99,99.99,2.8,1.5,3.0,9.0,127.7,4,6
2015-02-12,-34.5,376.4,-0.8625,-1.0999999999999996,-0.0274999999999999,9.4,8.3,1.0999999999999996,8,0.0,0.0,True,40.0,46.89999999999998,390.8,1.1724999999999994,0.2999999999999989,0.0074999999999999,8.8,5.0,3.8000000000000007,9,0.0,0.0,True,40.0,33.400000000000034,415.8,0.8350000000000009,-0.2999999999999989,-0.0074999999999999,8.6,5.8,2.8,9,0.0,0.0,True,40.0,8.270833333333334,-0.2999999999999999,-2.3,1.12,-0.205,0.4,-0.382,327.25,6.3966136874651625,-0.7,-16.75,-18,1.185,1.23,1.85,11.5,13.0,69.0,124.4,4,6
