FECHA,Mh_PRECURSOR,Mv_PRECURSOR,Dh_TOTAL,F_DENSITY,Delta_foF2_1,slope_foF2_1,foF2_max_SW,foF2_min_SW,foF2_drop_SW,num_muestras_foF2,delta_inicio_min,delta_fin_min,extremos_validos,hora_inicio_real,hora_fin_real,tiempo_real_min,num_registros,Bz_mean_16_19,Bz_min_16_19,Bz_slope_16_19,E_mean_16_19,E_max_16_19,E_slope_16_19,SW_speed_mean_16_19,SW_speed_std_16_19,SW_speed_slope_16_19,Dst_mean_16_19,Dst_min_16_19,Pdyn_mean_16_19,Pdyn_max_16_19,BY_mean_16_19,Kp_last_6h_mean,Kp_last_6h_max,Kp_last_6h_sum,F10.7_Index,num_registros_16_19,num_registros_kp_13_18
2013-01-24,432.5,0.6550000000000001,78.60000000000002,10.771428571428572,-2.0,-0.0166666666666666,11.65,9.4,2.25,7,0.0,0.0,True,2013-01-24 17:00:00,2013-01-24 19:00:00,120.0,7,2.725,1.7,0.49,-1.2175,-0.86,-0.149,279.75,2.6299556396765835,1.9,14.0,12,1.5025,1.74,4.625,0.0,0.0,0.0,100.2,4,6
2013-01-25,,,,,,,,,,0,75.0,0.0,False,2013-01-25 18:15:00,2013-01-25 19:00:00,,4,-1.8500000000000003,-11.3,-1.88,1.1025,4.21,-0.0209999999999999,390.0,5.94418483337567,2.6,6.0,-21,5.1325,5.67,-2.725,23.5,30.0,141.0,97.5,4,6
2013-01-26,,,,,,,,,,0,30.0,0.0,False,2013-01-26 17:30:00,2013-01-26 19:00:00,,7,-2.325,-5.8,1.49,1.795,3.63,-0.768,508.25,40.23576352782021,23.1,-42.5,-51,1.9525,2.74,-3.850000000000001,40.0,40.0,240.0,96.3,4,6
2013-01-27,456.2,0.6708333333333333,80.5,11.216666666666669,-1.0999999999999996,-0.0091666666666666,11.7,10.6,1.0999999999999996,6,0.0,0.0,True,2013-01-27 17:00:00,2013-01-27 19:00:00,120.0,6,-0.6,-0.8,0.1399999999999999,0.335,0.46,0.008,416.25,3.304037933599835,-2.5,-18.75,-20,0.945,1.03,-0.5249999999999999,10.0,17.0,60.0,94.7,4,6
2013-01-28,377.2,-0.3400000000000001,-40.80000000000001,9.871428571428572,0.5999999999999996,0.0049999999999999,10.5,9.1,1.4000000000000004,7,0.0,0.0,True,2013-01-28 17:00:00,2013-01-28 19:00:00,120.0,7,-1.075,-1.5,0.07,0.6725,0.88,0.0669999999999999,395.75,2.6299556396765835,-0.1,-11.75,-14,1.0425,1.07,-1.7000000000000002,15.0,17.0,90.0,94.7,4,6
2013-01-29,375.9,0.5691666666666663,68.29999999999995,10.9,-0.8000000000000007,-0.0066666666666666,11.4,10.6,0.8000000000000007,9,0.0,0.0,True,2013-01-29 17:00:00,2013-01-29 19:00:00,120.0,9,0.3999999999999999,-0.2,-0.4600000000000001,0.025,0.28,0.158,350.5,3.415650255319866,-2.2,-5.5,-7,0.6950000000000001,0.81,-1.05,1.5,3.0,9.0,92.6,4,6
2013-01-30,390.2,0.2083333333333333,25.0,9.48125,-0.2999999999999989,-0.0024999999999999,9.6,9.3,0.2999999999999989,8,0.0,0.0,True,2013-01-30 17:00:00,2013-01-30 19:00:00,120.0,8,-0.2749999999999999,-0.6,0.19,0.18,0.25,-0.054,313.5,3.1091263510296048,-2.4,-11.5,-13,0.645,0.67,-0.75,1.5,3.0,9.0,93.8,4,6
2013-01-31,333.6,0.0775000000000001,9.300000000000011,9.92,-0.200000000000001,-0.0016666666666666,10.2,9.6,0.5999999999999996,5,0.0,0.0,True,2013-01-31 17:00:00,2013-01-31 19:00:00,120.0,5,-2.675,-3.9,0.6699999999999999,1.0325,1.38,0.0549999999999999,327.5,1.2909944487358056,-0.4,2.5,-7,1.955,2.14,-1.725,8.5,10.0,51.0,99.7,4,6
2013-02-01,,,,,,,,,,0,75.0,0.0,False,2013-02-01 18:15:00,2013-02-01 19:00:00,,4,2.35,-0.1,-1.6599999999999997,0.3625,1.63,0.877,366.5,15.673757260678329,11.6,4.0,-3,2.405,4.74,-6.725,18.0,23.0,108.0,100.7,4,6
2013-02-02,401.6,0.0483333333333334,5.800000000000011,9.31,0.0999999999999996,0.0008333333333333,9.5,9.1,0.4000000000000003,5,0.0,0.0,True,2013-02-02 17:00:00,2013-02-02 19:00:00,120.0,5,0.75,0.1,0.34,0.275,0.51,-0.072,459.25,6.849574196011505,-0.1,-8.25,-11,1.1675,1.44,-2.825,20.0,30.0,120.0,108.6,4,6
2013-02-03,412.3,0.6158333333333336,73.90000000000003,11.52,-0.1999999999999993,-0.0016666666666666,11.6,11.4,0.1999999999999993,5,0.0,0.0,True,2013-02-03 17:00:00,2013-02-03 19:00:00,120.0,5,2.225,0.9,-0.57,-0.2075,0.16,0.139,409.0,3.741657386773941,-2.2,-1.25,-2,2.5175,2.85,-3.25,5.0,7.0,30.0,107.9,4,6
2013-02-04,406.1,0.0524999999999996,6.2999999999999545,9.188888888888888,-0.5500000000000007,-0.0045833333333333,9.55,8.8,0.75,9,0.0,0.0,True,2013-02-04 17:00:00,2013-02-04 19:00:00,120.0,9,0.2,-2.0,-0.5,-0.09,0.55,0.076,346.5,3.0,-2.2,13.5,13,3.0275000000000003,3.18,0.125,13.0,23.0,78.0,103.7,4,6
2013-02-05,,,,,,,,,,0,15.0,0.0,False,2013-02-05 17:15:00,2013-02-05 19:00:00,,5,0.575,-2.5,-0.4299999999999999,-0.47,0.56,0.1,333.0,4.320493798938574,-2.8,2.25,2,1.4775,1.84,1.85,0.0,0.0,0.0,102.2,4,6
2013-02-06,437.5,0.4991666666666665,59.89999999999998,10.67777777777778,-1.5,-0.0125,11.35,9.5,1.85,9,0.0,0.0,True,2013-02-06 17:00:00,2013-02-06 19:00:00,120.0,9,-2.55,-4.6,-0.3400000000000001,0.1099999999999999,0.87,0.078,334.75,1.707825127659933,1.1,5.25,4,2.1425,2.28,4.175,8.5,10.0,51.0,100.7,4,6
2013-02-07,386.6,-0.2141666666666665,-25.69999999999999,8.094444444444445,-0.5499999999999998,-0.0045833333333333,8.5,7.7,0.7999999999999998,9,0.0,0.0,True,2013-02-07 17:00:00,2013-02-07 19:00:00,120.0,9,2.2750000000000004,1.3,-0.4699999999999999,-1.0325,-0.26,-0.179,368.75,2.0615528128088303,-0.9,-5.25,-8,3.075,3.27,1.65,13.0,13.0,78.0,100.0,4,6
2013-02-08,415.0,0.3758333333333335,45.10000000000002,12.011111111111113,-1.0999999999999996,-0.0091666666666666,12.4,11.3,1.0999999999999996,9,0.0,0.0,True,2013-02-08 17:00:00,2013-02-08 19:00:00,120.0,9,-1.6,-2.9,-0.9,0.135,0.58,0.294,445.5,2.3804761428476167,1.6,-10.5,-11,1.9975,2.07,2.35,11.5,13.0,69.0,101.4,4,6
2013-02-09,407.0,0.4666666666666667,56.0,9.261111111111113,-0.6999999999999993,-0.0058333333333333,9.7,8.6,1.0999999999999996,9,0.0,0.0,True,2013-02-09 17:00:00,2013-02-09 19:00:00,120.0,9,-1.0750000000000002,-2.2,-0.6300000000000001,-0.6375000000000001,-0.2,0.2349999999999999,402.25,4.856267428111155,-3.7,-2.0,-4,1.8725,1.92,5.3500000000000005,6.5,10.0,39.0,104.8,4,6
2013-02-10,398.4,0.1408333333333331,16.899999999999977,9.52777777777778,-0.6999999999999993,-0.0058333333333333,9.8,9.0,0.8000000000000007,9,0.0,0.0,True,2013-02-10 17:00:00,2013-02-10 19:00:00,120.0,9,-2.125,-2.4,0.03,0.645,0.79,0.0299999999999999,359.5,5.972157622389639,-4.2,-10.25,-13,1.2875,1.42,0.125,15.0,20.0,90.0,103.2,4,6
2013-02-11,446.9,0.4741666666666664,56.89999999999998,10.183333333333332,-1.700000000000001,-0.0141666666666666,11.0,9.2,1.8000000000000007,9,0.0,0.0,True,2013-02-11 17:00:00,2013-02-11 19:00:00,120.0,9,-0.6,-1.9,0.3399999999999999,0.905,1.43,-0.2299999999999999,364.75,4.573474244670748,0.7,-8.25,-11,1.5750000000000002,1.83,-4.025,20.0,20.0,120.0,102.5,4,6
2013-02-12,379.9,0.1216666666666663,14.599999999999966,9.555555555555555,-0.0999999999999996,-0.0008333333333333,9.8,9.4,0.4000000000000003,9,0.0,0.0,True,2013-02-12 17:00:00,2013-02-12 19:00:00,120.0,9,-1.7,-3.2,1.02,0.775,1.17,-0.298,354.75,4.573474244670748,-2.5,-5.75,-11,1.5575,1.7,-1.375,22.0,27.0,132.0,99.2,4,6
2013-02-13,426.3,0.4541666666666666,54.5,10.588888888888889,-0.0499999999999989,-0.0004166666666666,10.9,10.3,0.5999999999999996,9,0.0,0.0,True,2013-02-13 17:00:00,2013-02-13 19:00:00,120.0,9,-2.975,-5.8,-2.11,1.5125,2.53,0.585,380.25,12.816005617976296,-2.1,-12.75,-22,3.8225,4.23,-2.95,38.0,43.0,228.0,97.8,4,6
